Month,Total_Sales_Adjusted
11/1/2009,6228.246103
12/1/2009,7082.216063
1/1/2010,5349.481724
2/1/2010,5472.655041
3/1/2010,6177.345501
4/1/2010,5726.799009
5/1/2010,5904.138007
6/1/2010,5872.847272
7/1/2010,6164.301642
8/1/2010,6246.957812
9/1/2010,6055.314193
10/1/2010,5799.882976
11/1/2010,6517.256296
12/1/2010,7257.452454
1/1/2011,5368.00064
2/1/2011,5605.274776
3/1/2011,6568.941057
4/1/2011,6054.597601
5/1/2011,6250.681813
6/1/2011,6202.572437
7/1/2011,6386.222735
8/1/2011,6796.500345
9/1/2011,6598.674466
10/1/2011,6158.139244
11/1/2011,7004.306393
12/1/2011,7954.34312
1/1/2012,6075.405272
2/1/2012,6371.446266
3/1/2012,6970.566667
4/1/2012,6172.462319
5/1/2012,6892.808214
6/1/2012,6609.470934
7/1/2012,6753.425791
8/1/2012,7252.377435
9/1/2012,6720.135669
10/1/2012,6555.882511
11/1/2012,7423.555733
12/1/2012,8260.440957
1/1/2013,6559.754061
2/1/2013,6424.962324
3/1/2013,7155.997107
4/1/2013,6639.307834
5/1/2013,7124.000648
6/1/2013,6889.507895
7/1/2013,7274.312998
8/1/2013,7724.959291
9/1/2013,7173.618748
10/1/2013,7347.516656
11/1/2013,8044.925254
12/1/2013,8365.385656
1/1/2014,6575.665757
2/1/2014,6623.811927
3/1/2014,7475.448925
4/1/2014,7210.41826
5/1/2014,7786.32813
6/1/2014,7332.814843
7/1/2014,7815.454929
8/1/2014,8109.741014
9/1/2014,7778.535769
10/1/2014,7823.876207
11/1/2014,8250.871327
12/1/2014,9378.326802
1/1/2015,7265.909127
2/1/2015,6885.127354
3/1/2015,7941.885392
4/1/2015,7630.140181
5/1/2015,8255.744883
6/1/2015,7989.348449
7/1/2015,8487.388556
8/1/2015,8510.720867
9/1/2015,8329.342933
10/1/2015,8456.511741
11/1/2015,8790.736951
12/1/2015,10087.54504
1/1/2016,7566.373476
2/1/2016,7760.50462
3/1/2016,8611.985618
4/1/2016,8041.962711
5/1/2016,8442.118269
6/1/2016,8574.283494
7/1/2016,8620.528324
8/1/2016,8995.133463
9/1/2016,8980.943282
10/1/2016,8538.239592
11/1/2016,9374.816424
12/1/2016,10244.98593
1/1/2017,7874.983206
2/1/2017,7871.229543
3/1/2017,9230.062726
4/1/2017,8237.952382
5/1/2017,9047.518982
6/1/2017,8999.307096
7/1/2017,8864.093035
8/1/2017,9485.8372
9/1/2017,9182.448031
10/1/2017,9141.979154
11/1/2017,10145.59041
12/1/2017,10833.50185
1/1/2018,8417.343128
2/1/2018,8266.94327
3/1/2018,9754.740971
4/1/2018,8973.885759
5/1/2018,9733.086145
6/1/2018,9554.807941
7/1/2018,9542.663403
8/1/2018,10010.5981
9/1/2018,9407.29734
10/1/2018,9569.037851
11/1/2018,10380.1941
12/1/2018,10726.59507
1/1/2019,8431.965334
2/1/2019,8271.237355
3/1/2019,9718.107698
4/1/2019,9248.814254
5/1/2019,10001.3053
6/1/2019,9431.337229
7/1/2019,9887.800688
8/1/2019,9730.231
9/1/2019,9991.001
10/1/2019,9720.121
11/1/2019,10127.3
12/1/2019,10959.45
1/1/2020,9892.531492
2/1/2020,9213.63243
